SSL(t-1),SSL(t),q(t-1),q(t)
0.7,1.2,1.5,1.6
1.2,0.7,1.6,1.4
0.7,0.7,1.4,1.6
0.7,0.6,1.6,1.4
0.6,0.5,1.4,1.4
0.5,0.5,1.4,1.3
0.5,0.5,1.3,1.3
0.5,0.6,1.3,1.3
0.6,4,1.3,1.8
4,2.2,1.8,1.6
2.2,1,1.6,1.6
1,0.9,1.6,1.5
0.9,0.6,1.5,1.4
0.6,0.8,1.4,1.6
0.8,2.4,1.6,1.5
2.4,0.5,1.5,1.3
0.5,0.4,1.3,1.2
0.4,0.3,1.2,1.2
0.3,0.5,1.2,1.1
0.5,91.4,1.1,7.1
91.4,5.7,7.1,2.8
5.7,1.4,2.8,1.6
1.4,1.1,1.6,1.3
1.1,4,1.3,1.6
4,100.9,1.6,3.2
100.9,215.3,3.2,3.7
215.3,4.5,3.7,1.7
4.5,1.9,1.7,1.4
1.9,1.5,1.4,1.4
1.5,1.5,1.4,1.4
1.5,1.5,1.4,1.3
1.5,1.5,1.3,1.4
1.5,1.4,1.4,1.3
1.4,1.4,1.3,1.3
1.4,1.2,1.3,1.3
1.2,1.6,1.3,1.6
1.6,1.7,1.6,1.7
1.7,1.4,1.7,1.6
1.4,1.8,1.6,2
1.8,1.6,2,2
1.6,1.4,2,1.9
1.4,1.4,1.9,1.9
1.4,1,1.9,1.7
1,0.9,1.7,1.6
0.9,0.7,1.6,1.5
0.7,0.6,1.5,1.3
0.6,0.4,1.3,1.2
0.4,0.5,1.2,1.2
0.5,1.4,1.2,1.8
1.4,1.5,1.8,1.7
1.5,0.8,1.7,1.5
0.8,0.6,1.5,1.4
0.6,0.8,1.4,1.6
0.8,0.9,1.6,1.6
0.9,0.7,1.6,1.3
0.7,0.7,1.3,1.3
0.7,15.6,1.3,4.1
15.6,1.9,4.1,1.8
1.9,1.4,1.8,1.6
1.4,10.4,1.6,3.9
10.4,1.9,3.9,1.8
1.9,1.1,1.8,1.5
1.1,1.1,1.5,1.6
1.1,0.8,1.6,1.4
0.8,0.7,1.4,1.3
0.7,0.6,1.3,1.3
0.6,1.2,1.3,1.8
1.2,0.8,1.8,1.5
0.8,67.8,1.5,7
67.8,14.8,7,5
14.8,4,5,3.2
4,1.6,3.2,2.1
1.6,1.1,2.1,1.8
1.1,0.9,1.8,1.6
0.9,0.8,1.6,1.4
0.8,0.8,1.4,1.4
0.8,0.8,1.4,1.5
0.8,0.8,1.5,1.4
0.8,0.9,1.4,1.6
0.9,0.9,1.6,1.6
0.9,0.8,1.6,1.5
0.8,0.8,1.5,1.4
0.8,0.6,1.4,1.3
0.6,1.3,1.3,1.8
1.3,1.7,1.8,1.7
1.7,0.8,1.7,1.5
0.8,1.2,1.5,1.9
1.2,1.1,1.9,1.7
1.1,0.9,1.7,1.5
0.9,1,1.5,1.6
1,0.7,1.6,1.2
0.7,0.3,1.2,1.1
0.3,0.3,1.1,1.1
0.3,2.7,1.1,1.6
2.7,3.6,1.6,1.7
3.6,0.8,1.7,1.2
0.8,0.4,1.2,1.1
0.4,0.3,1.1,1.1
0.3,183.7,1.1,8.2
183.7,24.9,8.2,4.6
24.9,2.5,4.6,1.9
2.5,1.4,1.9,1.7
1.4,1.3,1.7,1.5
1.3,1.2,1.5,1.5
1.2,1.5,1.5,1.4
1.5,0.9,1.4,1.2
0.9,1,1.2,1.2
1,1.1,1.2,1.4
1.1,0.9,1.4,1.2
0.9,0.8,1.2,1
0.8,0.7,1,1
0.7,0.6,1,0.9
0.6,0.6,0.9,0.9
0.6,0.6,0.9,0.9
0.6,0.5,0.9,0.9
0.5,1.9,0.9,1.8
1.9,1,1.8,1.2
1,0.6,1.2,1.1
0.6,0.6,1.1,1.2
0.6,0.7,1.2,1.2
0.7,0.6,1.2,1.2
0.6,0.5,1.2,1.1
0.5,3.2,1.1,2.3
3.2,0.9,2.3,1.3
0.9,0.6,1.3,1.3
0.6,0.4,1.3,1.1
0.4,0.5,1.1,1.1
0.5,0.5,1.1,1.1
0.5,7.7,1.1,3.5
7.7,8.8,3.5,3.1
8.8,1.4,3.1,1.8
1.4,0.6,1.8,1.4
0.6,0.5,1.4,1.3
0.5,0.5,1.3,1.2
0.5,0.5,1.2,1.2
0.5,0.5,1.2,1.1
0.5,0.5,1.1,1.2
0.5,0.5,1.2,1.1
0.5,0.5,1.1,1.1
0.5,0.5,1.1,1
0.5,0.5,1,1.1
0.5,0.4,1.1,1.1
0.4,0.4,1.1,1.1
0.4,0.3,1.1,1.1
0.3,0.3,1.1,1.1
0.3,0.4,1.1,1
0.4,0.4,1,1
0.4,0.8,1,1.5
0.8,1.7,1.5,2.1
1.7,1.3,2.1,1.9
1.3,1.5,1.9,1.7
1.5,0.9,1.7,1.6
0.9,38.7,1.6,5
38.7,85.5,5,9.4
85.5,5.3,9.4,3.6
5.3,2.5,3.6,2.4
2.5,1.3,2.4,2
1.3,0.7,2,1.7
0.7,0.5,1.7,1.5
0.5,0.8,1.5,1.8
0.8,0.7,1.8,1.6
0.7,0.6,1.6,1.4
0.6,0.5,1.4,1.3
0.5,0.4,1.3,1.2
0.4,0.4,1.2,1.3
0.4,0.8,1.3,1.4
0.8,0.3,1.4,1.3
0.3,0.3,1.3,1.3
0.3,0.3,1.3,1.3
0.3,0.4,1.3,1.4
0.4,0.4,1.4,1.3
0.4,0.3,1.3,1.3
0.3,0.3,1.3,1.3
0.3,0.3,1.3,1.3
0.3,0.3,1.3,1.3
0.3,0.4,1.3,1.3
0.4,0.4,1.3,1.4
0.4,0.4,1.4,1.4
0.4,0.4,1.4,1.3
0.4,0.4,1.3,1.3
0.4,0.6,1.3,1.3
0.6,0.7,1.3,1.3
0.7,0.8,1.3,1.4
0.8,0.8,1.4,1.4
0.8,0.8,1.4,1.4
0.8,0.8,1.4,1.4
0.8,0.9,1.4,1.4
0.9,0.8,1.4,1.3
0.8,0.7,1.3,1.3
0.7,0.6,1.3,1.3
0.6,0.3,1.3,1.3
0.3,0.2,1.3,1.4
0.2,0.2,1.4,1.4
0.2,0.2,1.4,1.4
0.2,0.2,1.4,1.3
0.2,0.2,1.3,1.2
0.2,0.2,1.2,1.2
0.2,0.2,1.2,1.3
0.2,0.2,1.3,1.3
0.2,0.2,1.3,1.3
0.2,0.2,1.3,1.2
0.2,0.2,1.2,1.2
0.2,0.3,1.2,1.2
0.3,0.2,1.2,1.2
0.2,0.4,1.2,1.4
0.4,9.6,1.4,3.3
9.6,232.9,3.3,14.2
232.9,13.8,14.2,5.6
13.8,6.8,5.6,4.3
6.8,8.3,4.3,5
8.3,37.6,5,8
37.6,20.6,8,8.3
20.6,4,8.3,4.2
4,2.2,4.2,3.4
2.2,2.6,3.4,3.6
2.6,3.5,3.6,3.8
3.5,9.7,3.8,5.2
9.7,90.7,5.2,10.5
90.7,107.2,10.5,20
107.2,9.5,20,7.3
9.5,4.5,7.3,5.3
4.5,3,5.3,4.3
3,2.5,4.3,3.9
2.5,2.2,3.9,3.7
2.2,5.2,3.7,4.9
5.2,25,4.9,9.4
25,14.1,9.4,8.2
14.1,4.8,8.2,5.8
4.8,4.4,5.8,5.8
4.4,3.8,5.8,5.4
3.8,3.3,5.4,5.1
3.3,3.6,5.1,5.1
3.6,3.7,5.1,4.6
3.7,15.6,4.6,6.7
15.6,32.4,6.7,11.8
32.4,15.3,11.8,9.4
15.3,12.4,9.4,8.1
12.4,178.6,8.1,20.3
178.6,55.1,20.3,17.6
55.1,10.1,17.6,8
10.1,9.6,8,7.9
9.6,10,7.9,7.8
10,11.7,7.8,9.1
11.7,13.2,9.1,7.3
13.2,11,7.3,7.4
11,12.1,7.4,8.6
12.1,5.8,8.6,6.7
5.8,3.8,6.7,5.6
3.8,3.1,5.6,5.1
3.1,2.6,5.1,4.7
2.6,2.4,4.7,4.4
2.4,105.6,4.4,8.6
105.6,112.9,8.6,25.5
112.9,18.8,25.5,10
18.8,76.7,10,17.3
76.7,47.6,17.3,17.1
47.6,22.6,17.1,11.1
22.6,9.1,11.1,8.5
9.1,5.5,8.5,7.2
5.5,5,7.2,6.1
5,3.9,6.1,5.5
3.9,3,5.5,5.1
3,2.7,5.1,4.8
2.7,2.5,4.8,4.4
2.5,15.2,4.4,4.1
15.2,14.4,4.1,3.8
14.4,2.7,3.8,3.5
2.7,1.2,3.5,3.3
1.2,1.1,3.3,3.2
1.1,1.1,3.2,3
1.1,1,3,2.9
1,1,2.9,2.8
1,1,2.8,2.7
1,1,2.7,2.6
1,1,2.6,2.5
1,0.9,2.5,2.4
0.9,0.8,2.4,2.3
0.8,0.9,2.3,2.2
0.9,1.1,2.2,2.2
1.1,1.4,2.2,2.2
1.4,1.5,2.2,2.2
1.5,2.5,2.2,2.5
2.5,46.2,2.5,7.9
46.2,8.1,7.9,4.1
8.1,2,4.1,2.5
2,2.2,2.5,2.5
2.2,3.2,2.5,2.6
3.2,13,2.6,4.6
13,19.8,4.6,6.9
19.8,5.9,6.9,4.5
5.9,2.8,4.5,3.5
2.8,1.8,3.5,3.1
1.8,3.2,3.1,4.1
3.2,5.3,4.1,5
5.3,4.5,5,4.9
4.5,3,4.9,4.2
3,2.1,4.2,3.7
2.1,1.7,3.7,3.3
1.7,1.5,3.3,3
1.5,1.5,3,2.9
1.5,1.4,2.9,3.1
1.4,1.4,3.1,2.9
1.4,1.2,2.9,2.7
1.2,1.2,2.7,2.9
1.2,1.3,2.9,3.3
1.3,1.5,3.3,3.5
1.5,1.3,3.5,3.3
1.3,1.2,3.3,3.1
1.2,1.2,3.1,3
1.2,1.3,3,3.2
1.3,1.3,3.2,3.2
1.3,1.4,3.2,3.4
1.4,1.2,3.4,2.9
1.2,1.1,2.9,2.7
1.1,2,2.7,2.6
2,1.1,2.6,2.5
1.1,0.9,2.5,2.3
0.9,0.8,2.3,2.4
0.8,0.9,2.4,2.3
0.9,0.6,2.3,2.3
0.6,0.6,2.3,2.2
0.6,0.6,2.2,2.1
0.6,0.6,2.1,2.1
0.6,0.6,2.1,2.2
0.6,0.6,2.2,2
0.6,0.5,2,1.9
0.5,0.5,1.9,1.9
0.5,0.5,1.9,1.9
0.5,0.5,1.9,1.8
0.5,0.5,1.8,1.9
0.5,0.5,1.9,2
0.5,0.5,2,1.9
0.5,0.5,1.9,2
0.5,0.4,2,2
0.4,0.6,2,2.2
0.6,2,2.2,3.2
2,1.2,3.2,2.3
1.2,0.6,2.3,2.1
0.6,0.5,2.1,2
0.5,0.5,2,2
0.5,0.4,2,1.9
0.4,0.5,1.9,1.9
0.5,0.4,1.9,1.9
0.4,2.6,1.9,3
2.6,1.6,3,2.6
1.6,3.6,2.6,4
3.6,1.7,4,2.9
1.7,0.9,2.9,2.6
0.9,0.8,2.6,2.5
0.8,0.6,2.5,2.2
0.6,0.5,2.2,2
0.5,0.5,2,1.9
0.5,0.5,1.9,1.8
0.5,0.4,1.8,1.7
0.4,0.9,1.7,1.9
0.9,0.5,1.9,1.7
0.5,2.2,1.7,2.8
2.2,7,2.8,2.2
7,1.1,2.2,2
1.1,1.4,2,2.5
1.4,1.5,2.5,2.5
1.5,1,2.5,2.1
1,0.8,2.1,1.9
0.8,0.8,1.9,1.8
0.8,0.8,1.8,1.7
0.8,1.7,1.7,2.5
1.7,1.1,2.5,1.9
1.1,0.7,1.9,1.7
0.7,0.7,1.7,1.7
0.7,0.9,1.7,2
0.9,0.7,2,1.7
0.7,0.6,1.7,1.6
0.6,0.6,1.6,1.6
0.6,0.6,1.6,1.6
0.6,0.6,1.6,1.5
0.6,0.6,1.5,1.5
0.6,1.2,1.5,1.8
1.2,0.6,1.8,1.4
0.6,0.4,1.4,1.3
0.4,0.4,1.3,1.3
0.4,0.5,1.3,1.3
0.5,0.5,1.3,1.3
0.5,0.5,1.3,1.3
0.5,0.5,1.3,1.2
0.5,0.6,1.2,1.2
0.6,1.2,1.2,1.9
1.2,0.8,1.9,1.5
0.8,0.7,1.5,1.4
0.7,1.4,1.4,2
1.4,1.3,2,2.1
1.3,1.2,2.1,1.8
1.2,1,1.8,1.6
1,1,1.6,1.8
1,0.8,1.8,1.5
0.8,0.7,1.5,1.4
0.7,0.7,1.4,1.4
0.7,0.7,1.4,1.3
0.7,0.8,1.3,1.5
0.8,1.8,1.5,3.5
1.8,1.5,3.5,3
1.5,0.9,3,1.8
0.9,0.7,1.8,1.4
0.7,0.6,1.4,1.3
0.6,0.6,1.3,1.2
0.6,0.5,1.2,1.1
0.5,0.5,1.1,1.2
0.5,0.5,1.2,1.1
0.5,0.5,1.1,1
0.5,0.4,1,1
0.4,0.6,1,1.1
0.6,0.6,1.1,1
0.6,0.6,1,1
0.6,0.6,1,1
0.6,0.6,1,1
0.6,0.6,1,0.9
0.6,7,0.9,2.7
7,2,2.7,1.7
2,1.6,1.7,1.9
1.6,0.8,1.9,1.4
0.8,2,1.4,1.8
2,2.3,1.8,1.8
2.3,0.9,1.8,1.3
0.9,0.4,1.3,1.1
0.4,0.4,1.1,1.1
0.4,0.3,1.1,1
0.3,0.3,1,0.9
0.3,0.3,0.9,1
0.3,0.5,1,1.2
0.5,1.8,1.2,2
1.8,1,2,1.5
1,1.1,1.5,1.7
1.1,0.9,1.7,1.6
0.9,2.8,1.6,2.6
2.8,1.3,2.6,1.5
1.3,0.5,1.5,1.2
0.5,1.5,1.2,1.7
1.5,1.4,1.7,1.5
1.4,0.5,1.5,1.1
0.5,0.4,1.1,1
0.4,0.4,1,0.9
0.4,0.3,0.9,0.9
0.3,0.3,0.9,0.8
0.3,0.3,0.8,0.8
0.3,0.3,0.8,0.9
0.3,0.3,0.9,1
0.3,0.3,1,0.9
0.3,0.2,0.9,0.8
0.2,0.3,0.8,0.8
0.3,0.2,0.8,0.7
0.2,0.2,0.7,0.7
0.2,0.2,0.7,0.7
0.2,0.2,0.7,0.7
0.2,0.3,0.7,0.8
0.3,0.2,0.8,0.7
0.2,0.2,0.7,0.7
0.2,0.2,0.7,0.7
0.2,0.1,0.7,0.7
0.1,0.1,0.7,0.6
0.1,0.1,0.6,0.6
0.1,0.1,0.6,0.7
0.1,0.1,0.7,0.6
0.1,0.2,0.6,0.7
0.2,0.2,0.7,0.8
0.2,0.2,0.8,0.6
0.2,0.1,0.6,0.6
0.1,0.2,0.6,0.5
0.2,0.1,0.5,0.5
0.1,0.3,0.5,0.8
0.3,0.2,0.8,0.7
0.2,0.2,0.7,0.7
0.2,0.1,0.7,0.7
0.1,0.1,0.7,0.6
0.1,0.1,0.6,0.7
0.1,0.1,0.7,0.6
0.1,0.1,0.6,0.5
0.1,7.5,0.5,1.1
7.5,38.1,1.1,2.2
38.1,1.4,2.2,1.2
1.4,0.6,1.2,0.9
0.6,0.4,0.9,0.8
0.4,0.3,0.8,0.8
0.3,0.3,0.8,0.7
0.3,0.2,0.7,0.6
0.2,0.2,0.6,0.5
0.2,0.2,0.5,0.5
0.2,0.2,0.5,0.6
0.2,0.2,0.6,0.6
0.2,0.4,0.6,0.7
0.4,3.2,0.7,2
3.2,0.8,2,1
0.8,0.3,1,0.7
0.3,0.2,0.7,0.6
0.2,0.2,0.6,0.6
0.2,0.2,0.6,0.6
0.2,0.2,0.6,0.6
0.2,0.4,0.6,1
0.4,0.2,1,0.7
0.2,0.2,0.7,0.7
0.2,0.2,0.7,0.8
0.2,0.2,0.8,0.7
0.2,0.2,0.7,0.7
0.2,0.6,0.7,0.9
0.6,0.4,0.9,0.7
0.4,1.5,0.7,1.4
1.5,1.2,1.4,1.5
1.2,0.5,1.5,1
0.5,0.4,1,0.9
0.4,0.3,0.9,0.8
0.3,0.3,0.8,0.7
0.3,0.2,0.7,0.7
0.2,0.4,0.7,0.9
0.4,1.1,0.9,1.3
1.1,0.4,1.3,0.9
0.4,12,0.9,3.6
12,3.9,3.6,2.1
3.9,0.7,2.1,1.2
0.7,0.4,1.2,1.2
0.4,0.3,1.2,1.1
0.3,0.4,1.1,1.3
0.4,1.2,1.3,1.7
1.2,0.5,1.7,1.3
0.5,0.3,1.3,1.1
0.3,0.2,1.1,0.9
0.2,0.2,0.9,0.9
0.2,0.2,0.9,0.8
0.2,0.5,0.8,1
0.5,0.4,1,0.9
0.4,0.2,0.9,0.8
0.2,0.2,0.8,0.7
0.2,0.4,0.7,0.7
0.4,0.5,0.7,0.8
0.5,0.2,0.8,0.8
0.2,0.4,0.8,0.9
0.4,0.7,0.9,1.4
0.7,0.4,1.4,1.2
0.4,0.3,1.2,1
0.3,0.3,1,1.2
0.3,0.5,1.2,1.7
0.5,0.7,1.7,1.9
0.7,0.7,1.9,2
0.7,24.7,2,5.2
24.7,7.8,5.2,4.3
7.8,7.8,4.3,4.9
7.8,6,4.9,4.7
6,4.1,4.7,3.5
4.1,1.8,3.5,3
1.8,1.1,3,2.3
1.1,0.8,2.3,2
0.8,1.3,2,2.5
1.3,3.8,2.5,3.3
3.8,1.4,3.3,2.2
1.4,0.8,2.2,1.9
0.8,0.6,1.9,1.8
0.6,0.5,1.8,1.7
0.5,0.5,1.7,1.6
0.5,0.4,1.6,1.6
0.4,0.4,1.6,1.5
0.4,0.4,1.5,1.5
0.4,0.4,1.5,1.4
0.4,0.4,1.4,1.4
0.4,0.3,1.4,1.4
0.3,0.3,1.4,1.3
0.3,0.3,1.3,1.3
0.3,0.3,1.3,1.3
0.3,0.3,1.3,1.3
0.3,0.3,1.3,1.2
0.3,1.5,1.2,2
1.5,1.8,2,1.9
1.8,1.1,1.9,1.5
1.1,0.7,1.5,1.4
0.7,0.5,1.4,1.4
0.5,0.6,1.4,1.5
0.6,0.6,1.5,1.6
0.6,0.6,1.6,1.6
0.6,0.5,1.6,1.5
0.5,0.5,1.5,1.3
0.5,0.5,1.3,1.4
0.5,0.5,1.4,1.5
0.5,0.5,1.5,1.5
0.5,0.4,1.5,1.4
0.4,0.4,1.4,1.4
0.4,0.4,1.4,1.5
0.4,0.9,1.5,1.9
0.9,73.1,1.9,6.4
73.1,136.1,6.4,11
136.1,24.1,11,9.7
24.1,12,9.7,7.5
12,5.2,7.5,5.2
5.2,3.1,5.2,4.2
3.1,2.2,4.2,3.6
2.2,423.6,3.6,16.5
423.6,163.9,16.5,33.6
163.9,20.2,33.6,12.2
20.2,15,12.2,10.4
15,45.6,10.4,16.9
45.6,80.8,16.9,26.3
80.8,14.3,26.3,11.5
14.3,7,11.5,8.2
7,4.7,8.2,7
4.7,3.6,7,6.1
3.6,3.2,6.1,5.7
3.2,3,5.7,5.2
3,3,5.2,5.2
3,28.3,5.2,10.8
28.3,10.5,10.8,9.3
10.5,8.6,9.3,8.9
8.6,5.6,8.9,7.2
5.6,4,7.2,6.3
4,3.4,6.3,5.8
3.4,3.1,5.8,5.3
3.1,2.6,5.3,4.7
2.6,2.3,4.7,4.1
2.3,1.8,4.1,3.8
1.8,1.6,3.8,3.5
1.6,1.5,3.5,3.2
1.5,1.5,3.2,3.1
1.5,1.4,3.1,3
1.4,1.3,3,3
1.3,1.2,3,2.9
1.2,1.2,2.9,2.8
1.2,1.1,2.8,2.7
1.1,1.1,2.7,2.6
1.1,1.1,2.6,2.6
1.1,1,2.6,2.6
1,1.5,2.6,2.5
1.5,6.3,2.5,2.5
6.3,8.8,2.5,2.5
8.8,19.1,2.5,4.1
19.1,129.8,4.1,18.2
129.8,94.4,18.2,25.3
94.4,37.5,25.3,14.5
37.5,22.1,14.5,12.9
22.1,9.9,12.9,8.6
9.9,11.2,8.6,7.2
11.2,13.5,7.2,10.3
13.5,10.6,10.3,8.5
10.6,7.2,8.5,6.5
7.2,5.4,6.5,5.7
5.4,4.5,5.7,5.3
4.5,3.7,5.3,4.9
3.7,3.1,4.9,4.5
3.1,2.7,4.5,4.2
2.7,2.3,4.2,4
2.3,2,4,3.7
2,1.8,3.7,3.6
1.8,1.8,3.6,3.6
1.8,1.7,3.6,3.5
1.7,1.6,3.5,3.4
1.6,1.5,3.4,3.4
1.5,1.4,3.4,3.3
1.4,1.2,3.3,3.1
1.2,1.2,3.1,3
1.2,1.1,3,3
1.1,1.1,3,3
1.1,1.1,3,3
1.1,1.1,3,3
1.1,1.1,3,2.9
1.1,0.9,2.9,2.8
0.9,0.8,2.8,2.7
0.8,0.8,2.7,2.7
0.8,0.8,2.7,2.6
0.8,0.8,2.6,2.5
0.8,0.8,2.5,2.6
0.8,0.9,2.6,2.7
0.9,1.2,2.7,3
1.2,3.2,3,4.6
3.2,12.1,4.6,7.8
12.1,15.6,7.8,7.6
15.6,10.9,7.6,6.7
10.9,5.2,6.7,4.8
5.2,3.9,4.8,4.1
3.9,3.3,4.1,3.6
3.3,3,3.6,3.4
3,2.8,3.4,3.2
2.8,2.7,3.2,3.2
2.7,2.6,3.2,3.3
2.6,2.8,3.3,3.4
2.8,4.5,3.4,4.1
4.5,8.5,4.1,5.3
8.5,3.8,5.3,4
3.8,3.3,4,3.6
3.3,2.6,3.6,3.1
2.6,2.3,3.1,2.9
2.3,2.1,2.9,2.8
2.1,2.1,2.8,2.6
2.1,2,2.6,2.6
2,2.2,2.6,2.9
2.2,2.1,2.9,2.7
2.1,2,2.7,2.7
2,1.9,2.7,2.6
1.9,2,2.6,2.6
2,1.8,2.6,2.5
1.8,1.7,2.5,2.4
1.7,1.7,2.4,2.5
1.7,1.7,2.5,2.4
1.7,1.6,2.4,2.3
1.6,1.6,2.3,2.3
1.6,1.9,2.3,2.5
1.9,9.6,2.5,5.5
9.6,10.4,5.5,5.8
10.4,56.7,5.8,9.6
56.7,19.1,9.6,7.5
